artist_id,name
ARS0W831187B9AF0B7,Maximilian Hecker
ARE26EG1187B990AEF,Sunscreem
ARI28VJ1187FB4EAD7,Slackbaba
ARLAEJO1187B98DB85,FU-Schnickens
ARBJC9U1187B9A70AC,Kitty Kallen
AR0O3AV1187FB4D030,Agnostic Front
AR91DZT1187FB4C599,Frost
ARHUC691187B9AD27F,The Mars Volta
ARM9Q581187B98E984,Kinky
AR0V36F1187FB366B1,The Chieftains
ARIG6O41187B988BDD,Richard Souther
ARN3O411187FB4D859,Stephan Micus
ARH6W4X1187B99274F,Radiohead
ARXK4YK1187FB4D0C4,Dub Pistols feat. TK & Ashley Slater
AR4TLW81187B99683D,Martin Sexton
AR9LT7R1187FB4543A,Darden Smith
ARMDE3V1187FB3EEFB,The Last Days Of Jesus
ARV8T9T1187B99F3F4,Amorphis
ARZLX2S1187B991A47,The Four Pennies
AR5995Z1187B9A112B,The Tarriers
ARMG34A1187FB548A8,Thomas Dolby
AR5R7791187FB3A8C3,Alfredo Kraus
ARUQ6301187FB54EBA,Salt-N-Pepa
ARJDUON1187B989F69,David Zinman
ARBR7II1187B9B821E,The Flesh
ARF5M7Q1187FB501E8,Maroon 5
ARQDWBG1187B9891D7,Zeromancer
ARIVGZI11E2835F1FC,Bülent Ceylan
ARG4KW31187FB51B7C,Atomic Rooster
ARONRBJ11F50C49E81,Captain Beefheart & The Magic Band
ARGNGRI11E2835D567,Tam Tam Go!
ARYGSFW1187FB519B1,Mike And The Mechanics
ARDXWVZ1187B9B52F1,Michael Whalen
ARW071B1187B9A603C,Unwritten Law
ARYKF861187B99C74B,Pery Ribeiro
AR6KK741187B98C9E9,Roy Brown
AR2K2CM1187B98D4F1,Fran Perea
ARF3GX71187FB3EB66,Martina McBride
AR08DYV1187B99A0D7,Reach 454
AR95CRV1187B9AFD6D,Pedro Luis e a Parede
ARU9KWP1187B98B2A7,Busdriver
ARWQ3M31187FB4CF01,ARRESTED DEVELOPMENT
ARYS9L21187FB367E4,Tones On Tail
ARVUQIC1187B9A7C66,Hevia
ARY4M3J1187B9AC94C,John Sebastian
AREWYHV1241B9C696D,Dictafone
AR358YS1187FB44A29,The Jordanaires
ARFERPC1187FB557F6,Hacken Lee
ARJ6WGW1187B9913EB,Willie Barcena
ARN03F71187FB4E3F4,Ayo
ARXW2MN1187B9B8817,X-ecutioners featuring M.O.P.
AR5IDI61187FB43E75,Bloomfield
AREPOUG11F4C83D36C,DJ Rashad
ARPKK761187FB4D53C,The Ataris
ARUJ5A41187FB3F5F1,U2
ARLK1A71187B9AECD2,Yuppie Pricks
ARIHI8H1187B9B0058,Jackie Edwards
ARWVOHH1187FB5974B,Screamin' Jay Hawkins
ARJTZHH11F4C83C530,Carmen Y Laura
ARGP7WY1187FB45464,Edmond Leung
ARGXJRQ1241B9C5FDE,Charlie Khan
ARHY20W1187B9B8262,Steve Erquiaga
AR3QRJ91187B98E4C2,Jacques Dutronc
ARX8PZU1187B9AA7E2,Mighty Joe Young
ARWIHGT1269FCCF034,The Shirrows
AR02PUA1187FB52574,Hoodfellas
ARS1OWB1187B99EEAD,New York Dolls
ARB4ROA1187B9ACAEC,Junior Reid
AR323JD1187FB483D0,Solomon
ARXFWVC1187B98ED6B,Jude Cole
AR8E1KA1187B9A18C3,Mike Vax
AR0CWOB1187B99FA08,Christophe Beck
ARNZPLV1187FB3DF5D,Capleton
ARFILWJ1187B9ADDBF,María Elena Walsh
ARIF6IS1187B98FDEB,Primordial
ARDK0551187FB5AC48,Blind Willie Johnson
ARGYPFI1187FB3D997,La 5A Estacion
AR95F611187B99CE1C,Anita Kerr
ARQ2PMX1187FB38D62,Hins Cheung
ARTDQRC1187FB4EFD4,Black Eyed Peas
AR6742W1187B989AA9,Joe Graves & The Diggers
ARTPCQ41187B9AB42C,Adrenalin O.D.
ARORFIN1187FB3BE5C,Danielle Bollinger
ARQUFQK11F4C83C0D8,4 Skins
ARMPRI31187FB4F7D9,Vangelis
ARLLUSZ1187B98ACDC,Tha Liks
ARHPPJK1187B9AC897,Teenage Fanclub
AR3KXHI1187FB3A8BF,Dora The Explorer
AR8SRQ31187FB4D477,Ten Years After
ARXRVY51187B99E98E,Jim Bryson
ART9G811187FB55F2D,Monika_ Wolfgang
ARGLOWN1187B99C06D,North Mississippi Allstars
ARL47TY11C8A416938,Time Factory
AROKAO61187FB38105,Four Tet
AROZNFA1187B99D367,John Digweed
AR0NQD81187FB3AD13,Gary Morris
ARQXGWX11F50C49BC7,Vincent Bruley
AR40GSU1187FB3AA01,Neil Diamond
AROWNZP1187FB3C028,Black Box
AR00A6H1187FB5402A,The Meatmen
ARTE6AQ1187B9B2826,High Strung_ The
ARSPUJF1187B9A14B8,Death Cab for Cutie
AROC6N61187FB40B14,Steven Halpern
ARBKMHZ11F4C843491,Dakis
ARO2PB81187B98EB4A,Lari White
ARSG7NQ1187FB57482,Fall Out Boy
AR7CCCC1187FB578FF,Don Gibson
ARQVLQJ1187B98F11F,Mau Mau
ARJXZX41187B9B6A43,Dream Warriors
AR0N9BV1187FB3AD01,Gene Pitney
ARDHWW41187B9A86B0,Paris_ Texas
AR2S4CA1187B99632E,FFH
ART6QCS1187FB40CBD,Los Auténticos Decadentes
ARYVGP31187B9A531A,John Mellencamp
ARRHVGT1187B98D603,Dynamite Deluxe
ARSZVAK1187FB4A9F0,Richie Ray & Bobby Cruz
ARHDLVJ11F4C84797A,Hadag Nahash
AR9OLFX1187B9A5762,Bob Willis
ARWGIFV1187B989947,New Direction
ARSS4Y41187B9B0AC6,Bobaflex
ARNBIUE1187FB3E846,Benga
AR1OBRC1187FB59AD4,Behemoth
AR3FE581187FB3F90A,DJ Clue / Fabolous Sport
