song_id,title,tempo,key_signature,mode,release_year,energy,danceability,loudness,cluster_id,artist_id
TRBBBEA128F93391BA,Sleepy Lad,77.006,7,1,2004,0.0,0.0,-14.689,4,ARS0W831187B9AF0B7
TRBBBLA128F424E963,Exodus,130.201,11,0,1995,0.0,0.0,-8.955,6,ARE26EG1187B990AEF
TRBBBKS12903CDFCF4,Sea of Green,88.644,0,1,2006,0.0,0.0,-7.016,0,ARI28VJ1187FB4EAD7
TRBBBMT128F42A0A4E,True Fuschnick,101.871,9,1,1992,0.0,0.0,-9.093,0,ARLAEJO1187B98DB85
TRBBBVC128F429AB66,Mother_ Mother_ Mother_ Pin A Rose On Me,121.56,8,1,1967,0.0,0.0,-14.281,6,ARBJC9U1187B9A70AC
TRBBBOA128F42624DA,Sickness,151.184,6,0,1999,0.0,0.0,-3.565,5,AR0O3AV1187FB4D030
TRBBBFO128F931535D,My Plastic Heart (Plastic Operator Remix),126.946,0,1,1951,0.0,0.0,-12.624,6,AR91DZT1187FB4C599
TRBBBUG128F148D65B,Inertiatic Esp,112.486,6,0,2003,0.0,0.0,-3.952,8,ARHUC691187B9AD27F
TRBBGMX128F932B156,Don't Speak,124.995,11,0,1971,0.0,0.0,-10.003,6,ARM9Q581187B98E984
TRBBGFR128F427B5BD,No. 6 The Coombe,105.539,7,1,1977,0.0,0.0,-13.855,2,AR0V36F1187FB366B1
TRBBGEG128F425CEDD,Cross Currents,88.796,0,0,2003,0.0,0.0,-14.299,4,ARIG6O41187B988BDD
TRBBGMD128F4229F92,Virgen De La Nieve - 14-String Guitar Solo,85.816,3,1,2002,0.0,0.0,-26.688,7,ARN3O411187FB4D859
TRBBGQN128F9310CBE,You (Demo),111.629,4,0,2009,0.0,0.0,-13.708,2,ARH6W4X1187B99274F
TRBBGUV128F92DFA21,Everyday Stranger,111.997,0,0,2009,0.0,0.0,-6.841,8,ARXK4YK1187FB4D0C4
TRBBGDK128F427D450,My Maria (LP Version),86.805,4,1,1998,0.0,0.0,-10.218,4,AR4TLW81187B99683D
TRBBGMS128F424C656,Frankie & Sue,153.974,5,0,1990,0.0,0.0,-10.052,5,AR9LT7R1187FB4543A
TRBBGOG128EF33EDCA,Death Song,145.185,4,1,2004,0.0,0.0,-8.232,5,ARMDE3V1187FB3EEFB
TRBBMXI128F428CCD1,The Lost Name of God,122.483,8,1,1992,0.0,0.0,-7.107,8,ARV8T9T1187B99F3F4
TRBBMTJ128F1477785,Sweeter Than You,101.295,1,1,1979,0.0,0.0,-9.242,0,ARZLX2S1187B991A47
TRBBMQO128F425559F,Red Apple Juice (LP Version),148.294,7,1,1953,0.0,0.0,-14.523,1,AR5995Z1187B9A112B
TRBBMXP128F9325219,Marseille (Live On Tour_ 1984),114.595,0,1,1979,0.0,0.0,-12.032,6,ARMG34A1187FB548A8
TRBBMIR128F933DF44,"Los De Aragón: ""Los De Aragón",110.034,2,1,1967,0.0,0.0,-15.734,2,AR5R7791187FB3A8C3
TRBBMHE128EF341D09,Push It,127.597,4,1,1988,0.0,0.0,-5.668,8,ARUQ6301187FB54EBA
TRBBMAM128F4290E48,Des Helden Widersacher,131.917,7,0,2022,0.0,0.0,-25.613,9,ARJDUON1187B989F69
TRBBMTZ128F4260C61,Sweet Defeat,86.09,5,0,2007,0.0,0.0,-3.861,0,ARBR7II1187B9B821E
TRBBMQN128EF35F995,Through With You,145.999,10,0,2002,0.0,0.0,-5.622,5,ARF5M7Q1187FB501E8
TRBBMDA12903CB688E,V,120.072,2,1,2010,0.0,0.0,-6.707,8,ARQDWBG1187B9891D7
TRBBMYD12903CC2638,Bülent & Mompfreed: Mompfreedonium,78.437,2,1,1978,0.0,0.0,-18.446,2,ARIVGZI11E2835F1FC
TRBBMIF12903CA1EB0,Little Bit of Inner Air,124.714,5,1,1972,0.0,0.0,-9.079,6,ARG4KW31187FB51B7C
TRBBMLR128F1466822,On Tomorrow,186.23,9,0,1974,0.0,0.0,-15.794,1,ARONRBJ11F50C49E81
TRBBMAL128F146B288,Atrapados En La Red,130.402,6,0,1999,0.0,0.0,-4.811,8,ARGNGRI11E2835D567
TRBBMPH128F1469775,Seeing Is Believing,132.167,0,1,1988,0.0,0.0,-5.24,8,ARYGSFW1187FB519B1
TRBBMVE128F92DA833,A World In Fast Forward,112.706,2,1,1993,0.0,0.0,-20.523,2,ARDXWVZ1187B9B52F1
TRBBEQY128F42373AF,Save Me (Rolling Stone Original Version),80.472,11,1,1990,0.0,0.0,-12.256,4,ARW071B1187B9A603C
TRBBEAE128F429E371,Piano E Viola,87.61,2,1,2021,0.0,0.0,-11.131,4,ARYKF861187B99C74B
TRBBEJC128F4281471,Good Rocking Tonight,157.087,0,1,1979,0.0,0.0,-15.525,1,AR6KK741187B98C9E9
TRBBEEP128F147F1BF,Entonces,90.645,4,1,2005,0.0,0.0,-3.39,0,AR2K2CM1187B98D4F1
TRBBEGG128F9314BAA,Heart Trouble,175.954,4,0,1993,0.0,0.0,-7.958,5,ARF3GX71187FB3EB66
TRBBEHB128E0784F71,6 Yrs (Album Version ),95.953,7,1,2003,0.0,0.0,-2.76,0,AR08DYV1187B99A0D7
TRBBECU128F931E67C,Soul,159.134,0,1,1997,0.0,0.0,-6.032,5,AR95CRV1187B9AFD6D
TRBBEYU128F4235623,Unemployed Black Astronaut,123.998,8,1,2005,0.0,0.0,-5.281,8,ARU9KWP1187B98B2A7
TRBBAIC12903D11771,Greener,97.955,11,1,1962,0.0,0.0,-7.607,0,ARWQ3M31187FB4CF01
TRBBAHD128F428E0FE,Burning Skies,95.425,2,0,1987,0.0,0.0,-11.705,4,ARYS9L21187FB367E4
TRBBASV128F427680E,Baños De Budapest (Extended Remix),124.006,5,0,2005,0.0,0.0,-4.769,8,ARVUQIC1187B9A7C66
TRBBAQJ128F92F1336,One Step Forward_ Two Steps Back,101.971,0,1,1976,0.0,0.0,-12.983,4,ARY4M3J1187B9AC94C
TRBBALB12903CAC0B5,Shrinking,129.983,0,0,1967,0.0,0.0,-6.632,8,AREWYHV1241B9C696D
TRBBAKQ128F92F0A8E,Your Love Takes Good Care Of Me,114.346,5,1,1997,0.0,0.0,-16.176,2,AR358YS1187FB44A29
TRBBADQ128F933698F,Hun Qian De Nu Ren,132.174,6,0,2019,0.0,0.0,-12.838,6,ARFERPC1187FB557F6
TRBBAAD128F42B0C9D,Love & Romance,72.188,8,1,2004,0.0,0.0,-17.813,2,ARJ6WGW1187B9913EB
TRBBANU128F422B87B,Only You,57.639,0,1,2006,0.0,0.0,-11.471,4,ARN03F71187FB4E3F4
TRBBARP128F9306CBE,Let It Bang,185.498,10,0,2001,0.0,0.0,-4.33,3,ARXW2MN1187B9B8817
TRBBADO12903CEE832,Boulevard St. Germain,179.976,1,1,2006,0.0,0.0,-6.718,3,AR5IDI61187FB43E75
TRBBAAZ12903CAEA6D,Flame It Up,106.446,9,1,1963,0.0,0.0,-6.36,0,AREPOUG11F4C83D36C
TRBBAKH128F92FA339,Secret Handshakes,174.468,11,0,2006,0.0,0.0,-4.317,5,ARPKK761187FB4D53C
TRBBANR128F4277C5B,40,146.826,8,1,1992,0.0,0.0,-8.539,5,ARUJ5A41187FB3F5F1
TRBBACZ128F9339B90,Prosperity In The U.S.A.,160.039,0,1,2018,0.0,0.0,-4.433,5,ARLK1A71187B9AECD2
TRBBRFQ12903CE2997,Ali Baba,157.177,10,1,2003,0.0,0.0,-6.543,5,ARIHI8H1187B9B0058
TRBBRTY128F4260973,Talk About Me,63.263,6,1,1995,0.0,0.0,-11.316,4,ARWVOHH1187FB5974B
TRBBRIQ128F9353B5C,Paloma Consentida,125.45,7,1,1966,0.0,0.0,-11.536,6,ARJTZHH11F4C83C530
TRBBRME128F4276C73,Yi Xiao Shi Chong Yin,137.686,5,1,1976,0.0,0.0,-11.349,6,ARGP7WY1187FB45464
TRBBRXN12903CBAE27,Cheshire Grin,140.197,9,1,1958,0.0,0.0,-4.431,8,ARGXJRQ1241B9C5FDE
TRBBRVT128F428EA7A,The 23rd Psalm,141.706,2,1,1985,0.0,0.0,-21.763,9,ARHY20W1187B9B8262
TRBBRJN128F425C040,L'Aventurier,98.733,2,1,1969,0.0,0.0,-7.246,0,AR3QRJ91187B98E4C2
TRBBRYI128F42370F5,Wishy Washy Woman,119.52,11,0,1953,0.0,0.0,-11.213,6,ARX8PZU1187B9AA7E2
TRBBRXA12903CAB6C0,Leave Me Be,123.491,0,1,2014,0.0,0.0,-7.461,8,ARWIHGT1269FCCF034
TRBBREF128F933CCDD,If you Seek Amy,130.011,4,0,1971,0.0,0.0,-4.872,8,AR02PUA1187FB52574
TRBBRQE12903C9E587,Trash (live Paris),110.056,7,1,2011,0.0,0.0,-12.153,6,ARS1OWB1187B99EEAD
TRBBRRS128F4256EEF,No Loafting,165.469,1,0,1994,0.0,0.0,-8.141,5,ARB4ROA1187B9ACAEC
TRBBFTS12903CDC3D9,Concerto In A Minor_ Op 54: First Movement - Allegro Affettuoso - Andante Espressivo - Tempo I - Cadenza - Allegro Molto,199.792,0,1,1958,0.0,0.0,-22.875,9,AR323JD1187FB483D0
TRBBFBZ128F42493ED,Tell The Truth (Album Version),159.673,10,1,1988,0.0,0.0,-8.858,5,ARXFWVC1187B98ED6B
TRBBFMN128F421AF38,Trumpet Blues And Cantabile,107.411,7,1,2001,0.0,0.0,-10.418,6,AR8E1KA1187B9A18C3
TRBBFLM128F14AD269,Main Title,131.487,8,0,2002,0.0,0.0,-26.631,9,AR0CWOB1187B99FA08
TRBBFOT12903CBCB4F,Raggy Road,161.737,7,1,1997,0.0,0.0,-8.834,5,ARNZPLV1187FB3DF5D
TRBBFUA128F933AB95,La Calle Del Gato Que Pesca,104.272,7,1,2021,0.0,0.0,-14.627,2,ARFILWJ1187B9ADDBF
TRBBFHG128F932B9D6,Autumn's Ablaze (Live),186.12,8,0,1998,0.0,0.0,-13.383,1,ARIF6IS1187B98FDEB
TRBBFRR128F426CD17,You'll Need Somebody On Your Bond,80.16,1,1,1991,0.0,0.0,-17.389,2,ARDK0551187FB5AC48
TRBBFFE128F9347D66,Contigo Si,100.266,7,1,1986,0.0,0.0,-8.278,0,ARGYPFI1187FB3D997
TRBBVSO128F9341C12,Anything's Better Than Feelin' The Blues,40.384,11,1,1999,0.0,0.0,-7.914,4,ARF3GX71187FB3EB66
TRBBVDW128F932262A,Over The Rainbow,94.771,3,1,1976,0.0,0.0,-14.355,4,AR95F611187B99CE1C
TRBBVBM128F92D07F1,Xue Hua Chao,149.765,0,1,2008,0.0,0.0,-6.339,5,ARQ2PMX1187FB38D62
TRBBVNR128E078E1E4,Tell Your Momma Come,204.304,7,0,2000,0.0,0.0,-5.065,3,ARTDQRC1187FB4EFD4
TRBBVYO128F146AEDC,Witchcraft (1997 Digital Remaster),88.947,0,1,2020,0.0,0.0,-13.435,4,AR6742W1187B989AA9
TRBBVYI128F4291603,Anarchy in the UK (Sex Pistols) (Bonus Track),106.002,0,1,1986,0.0,0.0,-5.235,0,ARTPCQ41187B9AB42C
TRBBVPM12903CDB094,Kiss the Sky,129.986,0,1,2006,0.0,0.0,-4.518,8,ARORFIN1187FB3BE5C
TRBBVDP128F92F28CF,Chaos (Live - Bridgehouse Tapes),90.787,9,1,1964,0.0,0.0,-6.014,0,ARQUFQK11F4C83C0D8
TRBBVFT128F42ABB02,3 + 3,149.423,1,1,1977,0.0,0.0,-17.058,1,ARMPRI31187FB4F7D9
TRBBVAH128F4270300,40 OZ Quartet Part I,160.267,0,1,2001,0.0,0.0,-6.929,5,ARLLUSZ1187B98ACDC
TRBBVBM128F4276D82,I Don't Know,116.239,6,1,1991,0.0,0.0,-15.838,2,ARHPPJK1187B9AC897
TRBBVTH128F92F3B6F,Mary Had A Little Lamb,141.961,7,1,2008,0.0,0.0,-3.215,8,AR3KXHI1187FB3A8BF
TRBBVFB128F1461507,Year 3_000 Blues (2002 Digital Remaster),106.145,11,0,1970,0.0,0.0,-10.124,6,AR8SRQ31187FB4D477
TRBBVXL128F427C3F2,Fleetwood,97.431,5,1,1971,0.0,0.0,-7.101,0,ARXRVY51187B99E98E
TRBBZCM12903CDDDA5,Mutter Erde,117.674,7,1,2007,0.0,0.0,-5.362,8,ART9G811187FB55F2D
TRBBZFO128F932CD27,2StepN,124.996,5,1,2006,0.0,0.0,-8.235,8,ARGLOWN1187B99C06D
TRBBZJP128F4287992,Seize the day,160.017,9,0,1971,0.0,0.0,-9.015,5,ARL47TY11C8A416938
TRBBZWC128F93172DA,I've got Vilking in Me,70.296,0,0,2004,0.0,0.0,-17.977,2,AROKAO61187FB38105
TRBBZJW12903CF71A6,Warung Beach,127.995,10,1,2006,0.0,0.0,-5.988,8,AROZNFA1187B99D367
TRBBZXJ12903CD3E8D,That Girl,130.72,10,0,2019,0.0,0.0,-9.636,6,AR0NQD81187FB3AD13
TRBBZSO128F4257B30,Ombre Et Lumière,150.867,4,0,1965,0.0,0.0,-14.037,1,ARQXGWX11F50C49BC7
TRBBZQM128F931A529,Song Sung Blue,164.359,0,1,1972,0.0,0.0,-8.351,5,AR40GSU1187FB3AA01
TRBBZAE128F92FDC05,Ride On Time (Original Version),118.834,9,0,1983,0.0,0.0,-9.159,6,AROWNZP1187FB3C028
TRBBZTM12903CB84F3,Bad Reputation (Originally Performed by Thin Lizzy),130.164,1,1,2020,0.0,0.0,-5.681,8,AR00A6H1187FB5402A
TRBBZRF128F9321407,Ain't That Something,120.944,9,1,2003,0.0,0.0,-2.694,8,ARTE6AQ1187B9B2826
TRBBZOG128F422B02B,You Can Do Better Than Me (Album Version),101.306,7,1,2008,0.0,0.0,-10.775,4,ARSPUJF1187B9A14B8
TRBBSXW12903CEB61D,Natural Light (Subliminal Self-Help),134.538,5,0,2000,0.0,0.0,-31.346,9,AROC6N61187FB40B14
TRBBSSU128F4265E16,Tsai Me Lemoni (2005 Digital Remaster),109.08,0,0,1977,0.0,0.0,-5.554,0,ARBKMHZ11F4C843491
