song_id,title,artist_id,artist_name,tempo,key,mode,year,energy,danceability,loudness
TRBBBEA128F93391BA,Sleepy Lad,ARS0W831187B9AF0B7,Maximilian Hecker,77.006,7,1,2004,0.0,0.0,-14.689
TRBBBLA128F424E963,Exodus,ARE26EG1187B990AEF,Sunscreem,130.201,11,0,1995,0.0,0.0,-8.955
TRBBBKS12903CDFCF4,Sea of Green,ARI28VJ1187FB4EAD7,Slackbaba,88.644,0,1,2006,0.0,0.0,-7.016
TRBBBMT128F42A0A4E,True Fuschnick,ARLAEJO1187B98DB85,FU-Schnickens,101.871,9,1,1992,0.0,0.0,-9.093
TRBBBVC128F429AB66,Mother_ Mother_ Mother_ Pin A Rose On Me,ARBJC9U1187B9A70AC,Kitty Kallen,121.56,8,1,1967,0.0,0.0,-14.281
TRBBBOA128F42624DA,Sickness,AR0O3AV1187FB4D030,Agnostic Front,151.184,6,0,1999,0.0,0.0,-3.565
TRBBBFO128F931535D,My Plastic Heart (Plastic Operator Remix),AR91DZT1187FB4C599,Frost,126.946,0,1,1951,0.0,0.0,-12.624
TRBBBUG128F148D65B,Inertiatic Esp,ARHUC691187B9AD27F,The Mars Volta,112.486,6,0,2003,0.0,0.0,-3.952
TRBBGMX128F932B156,Don't Speak,ARM9Q581187B98E984,Kinky,124.995,11,0,1971,0.0,0.0,-10.003
TRBBGFR128F427B5BD,No. 6 The Coombe,AR0V36F1187FB366B1,The Chieftains,105.539,7,1,1977,0.0,0.0,-13.855
TRBBGEG128F425CEDD,Cross Currents,ARIG6O41187B988BDD,Richard Souther,88.796,0,0,2003,0.0,0.0,-14.299
TRBBGMD128F4229F92,Virgen De La Nieve - 14-String Guitar Solo,ARN3O411187FB4D859,Stephan Micus,85.816,3,1,2002,0.0,0.0,-26.688
TRBBGQN128F9310CBE,You (Demo),ARH6W4X1187B99274F,Radiohead,111.629,4,0,2009,0.0,0.0,-13.708
TRBBGUV128F92DFA21,Everyday Stranger,ARXK4YK1187FB4D0C4,Dub Pistols feat. TK & Ashley Slater,111.997,0,0,2009,0.0,0.0,-6.841
TRBBGDK128F427D450,My Maria (LP Version),AR4TLW81187B99683D,Martin Sexton,86.805,4,1,1998,0.0,0.0,-10.218
TRBBGMS128F424C656,Frankie & Sue,AR9LT7R1187FB4543A,Darden Smith,153.974,5,0,1990,0.0,0.0,-10.052
TRBBGOG128EF33EDCA,Death Song,ARMDE3V1187FB3EEFB,The Last Days Of Jesus,145.185,4,1,2004,0.0,0.0,-8.232
TRBBMXI128F428CCD1,The Lost Name of God,ARV8T9T1187B99F3F4,Amorphis,122.483,8,1,1992,0.0,0.0,-7.107
TRBBMTJ128F1477785,Sweeter Than You,ARZLX2S1187B991A47,The Four Pennies,101.295,1,1,1979,0.0,0.0,-9.242
TRBBMQO128F425559F,Red Apple Juice (LP Version),AR5995Z1187B9A112B,The Tarriers,148.294,7,1,1953,0.0,0.0,-14.523
TRBBMXP128F9325219,Marseille (Live On Tour_ 1984),ARMG34A1187FB548A8,Thomas Dolby,114.595,0,1,1979,0.0,0.0,-12.032
TRBBMIR128F933DF44,"Los De Aragón: ""Los De Aragón",AR5R7791187FB3A8C3,Alfredo Kraus,110.034,2,1,1967,0.0,0.0,-15.734
TRBBMHE128EF341D09,Push It,ARUQ6301187FB54EBA,Salt-N-Pepa,127.597,4,1,1988,0.0,0.0,-5.668
TRBBMAM128F4290E48,Des Helden Widersacher,ARJDUON1187B989F69,David Zinman,131.917,7,0,2022,0.0,0.0,-25.613
TRBBMTZ128F4260C61,Sweet Defeat,ARBR7II1187B9B821E,The Flesh,86.09,5,0,2007,0.0,0.0,-3.861
TRBBMQN128EF35F995,Through With You,ARF5M7Q1187FB501E8,Maroon 5,145.999,10,0,2002,0.0,0.0,-5.622
TRBBMDA12903CB688E,V,ARQDWBG1187B9891D7,Zeromancer,120.072,2,1,2010,0.0,0.0,-6.707
TRBBMYD12903CC2638,Bülent & Mompfreed: Mompfreedonium,ARIVGZI11E2835F1FC,Bülent Ceylan,78.437,2,1,1978,0.0,0.0,-18.446
TRBBMIF12903CA1EB0,Little Bit of Inner Air,ARG4KW31187FB51B7C,Atomic Rooster,124.714,5,1,1972,0.0,0.0,-9.079
TRBBMLR128F1466822,On Tomorrow,ARONRBJ11F50C49E81,Captain Beefheart & The Magic Band,186.23,9,0,1974,0.0,0.0,-15.794
TRBBMAL128F146B288,Atrapados En La Red,ARGNGRI11E2835D567,Tam Tam Go!,130.402,6,0,1999,0.0,0.0,-4.811
TRBBMPH128F1469775,Seeing Is Believing,ARYGSFW1187FB519B1,Mike And The Mechanics,132.167,0,1,1988,0.0,0.0,-5.24
TRBBMVE128F92DA833,A World In Fast Forward,ARDXWVZ1187B9B52F1,Michael Whalen,112.706,2,1,1993,0.0,0.0,-20.523
TRBBEQY128F42373AF,Save Me (Rolling Stone Original Version),ARW071B1187B9A603C,Unwritten Law,80.472,11,1,1990,0.0,0.0,-12.256
TRBBEAE128F429E371,Piano E Viola,ARYKF861187B99C74B,Pery Ribeiro,87.61,2,1,2021,0.0,0.0,-11.131
TRBBEJC128F4281471,Good Rocking Tonight,AR6KK741187B98C9E9,Roy Brown,157.087,0,1,1979,0.0,0.0,-15.525
TRBBEEP128F147F1BF,Entonces,AR2K2CM1187B98D4F1,Fran Perea,90.645,4,1,2005,0.0,0.0,-3.39
TRBBEGG128F9314BAA,Heart Trouble,ARF3GX71187FB3EB66,Martina McBride,175.954,4,0,1993,0.0,0.0,-7.958
TRBBEHB128E0784F71,6 Yrs (Album Version ),AR08DYV1187B99A0D7,Reach 454,95.953,7,1,2003,0.0,0.0,-2.76
TRBBECU128F931E67C,Soul,AR95CRV1187B9AFD6D,Pedro Luis e a Parede,159.134,0,1,1997,0.0,0.0,-6.032
TRBBEYU128F4235623,Unemployed Black Astronaut,ARU9KWP1187B98B2A7,Busdriver,123.998,8,1,2005,0.0,0.0,-5.281
TRBBAIC12903D11771,Greener,ARWQ3M31187FB4CF01,ARRESTED DEVELOPMENT,97.955,11,1,1962,0.0,0.0,-7.607
TRBBAHD128F428E0FE,Burning Skies,ARYS9L21187FB367E4,Tones On Tail,95.425,2,0,1987,0.0,0.0,-11.705
TRBBASV128F427680E,Baños De Budapest (Extended Remix),ARVUQIC1187B9A7C66,Hevia,124.006,5,0,2005,0.0,0.0,-4.769
TRBBAQJ128F92F1336,One Step Forward_ Two Steps Back,ARY4M3J1187B9AC94C,John Sebastian,101.971,0,1,1976,0.0,0.0,-12.983
TRBBALB12903CAC0B5,Shrinking,AREWYHV1241B9C696D,Dictafone,129.983,0,0,1967,0.0,0.0,-6.632
TRBBAKQ128F92F0A8E,Your Love Takes Good Care Of Me,AR358YS1187FB44A29,The Jordanaires,114.346,5,1,1997,0.0,0.0,-16.176
TRBBADQ128F933698F,Hun Qian De Nu Ren,ARFERPC1187FB557F6,Hacken Lee,132.174,6,0,2019,0.0,0.0,-12.838
TRBBAAD128F42B0C9D,Love & Romance,ARJ6WGW1187B9913EB,Willie Barcena,72.188,8,1,2004,0.0,0.0,-17.813
TRBBANU128F422B87B,Only You,ARN03F71187FB4E3F4,Ayo,57.639,0,1,2006,0.0,0.0,-11.471
TRBBARP128F9306CBE,Let It Bang,ARXW2MN1187B9B8817,X-ecutioners featuring M.O.P.,185.498,10,0,2001,0.0,0.0,-4.33
TRBBADO12903CEE832,Boulevard St. Germain,AR5IDI61187FB43E75,Bloomfield,179.976,1,1,2006,0.0,0.0,-6.718
TRBBAAZ12903CAEA6D,Flame It Up,AREPOUG11F4C83D36C,DJ Rashad,106.446,9,1,1963,0.0,0.0,-6.36
TRBBAKH128F92FA339,Secret Handshakes,ARPKK761187FB4D53C,The Ataris,174.468,11,0,2006,0.0,0.0,-4.317
TRBBANR128F4277C5B,40,ARUJ5A41187FB3F5F1,U2,146.826,8,1,1992,0.0,0.0,-8.539
TRBBACZ128F9339B90,Prosperity In The U.S.A.,ARLK1A71187B9AECD2,Yuppie Pricks,160.039,0,1,2018,0.0,0.0,-4.433
TRBBRFQ12903CE2997,Ali Baba,ARIHI8H1187B9B0058,Jackie Edwards,157.177,10,1,2003,0.0,0.0,-6.543
TRBBRTY128F4260973,Talk About Me,ARWVOHH1187FB5974B,Screamin' Jay Hawkins,63.263,6,1,1995,0.0,0.0,-11.316
TRBBRIQ128F9353B5C,Paloma Consentida,ARJTZHH11F4C83C530,Carmen Y Laura,125.45,7,1,1966,0.0,0.0,-11.536
TRBBRME128F4276C73,Yi Xiao Shi Chong Yin,ARGP7WY1187FB45464,Edmond Leung,137.686,5,1,1976,0.0,0.0,-11.349
TRBBRXN12903CBAE27,Cheshire Grin,ARGXJRQ1241B9C5FDE,Charlie Khan,140.197,9,1,1958,0.0,0.0,-4.431
TRBBRVT128F428EA7A,The 23rd Psalm,ARHY20W1187B9B8262,Steve Erquiaga,141.706,2,1,1985,0.0,0.0,-21.763
TRBBRJN128F425C040,L'Aventurier,AR3QRJ91187B98E4C2,Jacques Dutronc,98.733,2,1,1969,0.0,0.0,-7.246
TRBBRYI128F42370F5,Wishy Washy Woman,ARX8PZU1187B9AA7E2,Mighty Joe Young,119.52,11,0,1953,0.0,0.0,-11.213
TRBBRXA12903CAB6C0,Leave Me Be,ARWIHGT1269FCCF034,The Shirrows,123.491,0,1,2014,0.0,0.0,-7.461
TRBBREF128F933CCDD,If you Seek Amy,AR02PUA1187FB52574,Hoodfellas,130.011,4,0,1971,0.0,0.0,-4.872
TRBBRQE12903C9E587,Trash (live Paris),ARS1OWB1187B99EEAD,New York Dolls,110.056,7,1,2011,0.0,0.0,-12.153
TRBBRRS128F4256EEF,No Loafting,ARB4ROA1187B9ACAEC,Junior Reid,165.469,1,0,1994,0.0,0.0,-8.141
TRBBFTS12903CDC3D9,Concerto In A Minor_ Op 54: First Movement - Allegro Affettuoso - Andante Espressivo - Tempo I - Cadenza - Allegro Molto,AR323JD1187FB483D0,Solomon,199.792,0,1,1958,0.0,0.0,-22.875
TRBBFBZ128F42493ED,Tell The Truth (Album Version),ARXFWVC1187B98ED6B,Jude Cole,159.673,10,1,1988,0.0,0.0,-8.858
TRBBFMN128F421AF38,Trumpet Blues And Cantabile,AR8E1KA1187B9A18C3,Mike Vax,107.411,7,1,2001,0.0,0.0,-10.418
TRBBFLM128F14AD269,Main Title,AR0CWOB1187B99FA08,Christophe Beck,131.487,8,0,2002,0.0,0.0,-26.631
TRBBFOT12903CBCB4F,Raggy Road,ARNZPLV1187FB3DF5D,Capleton,161.737,7,1,1997,0.0,0.0,-8.834
TRBBFUA128F933AB95,La Calle Del Gato Que Pesca,ARFILWJ1187B9ADDBF,María Elena Walsh,104.272,7,1,2021,0.0,0.0,-14.627
TRBBFHG128F932B9D6,Autumn's Ablaze (Live),ARIF6IS1187B98FDEB,Primordial,186.12,8,0,1998,0.0,0.0,-13.383
TRBBFRR128F426CD17,You'll Need Somebody On Your Bond,ARDK0551187FB5AC48,Blind Willie Johnson,80.16,1,1,1991,0.0,0.0,-17.389
TRBBFFE128F9347D66,Contigo Si,ARGYPFI1187FB3D997,La 5A Estacion,100.266,7,1,1986,0.0,0.0,-8.278
TRBBVSO128F9341C12,Anything's Better Than Feelin' The Blues,ARF3GX71187FB3EB66,Martina McBride,40.384,11,1,1999,0.0,0.0,-7.914
TRBBVDW128F932262A,Over The Rainbow,AR95F611187B99CE1C,Anita Kerr,94.771,3,1,1976,0.0,0.0,-14.355
TRBBVBM128F92D07F1,Xue Hua Chao,ARQ2PMX1187FB38D62,Hins Cheung,149.765,0,1,2008,0.0,0.0,-6.339
TRBBVNR128E078E1E4,Tell Your Momma Come,ARTDQRC1187FB4EFD4,Black Eyed Peas,204.304,7,0,2000,0.0,0.0,-5.065
TRBBVYO128F146AEDC,Witchcraft (1997 Digital Remaster),AR6742W1187B989AA9,Joe Graves & The Diggers,88.947,0,1,2020,0.0,0.0,-13.435
TRBBVYI128F4291603,Anarchy in the UK (Sex Pistols) (Bonus Track),ARTPCQ41187B9AB42C,Adrenalin O.D.,106.002,0,1,1986,0.0,0.0,-5.235
TRBBVPM12903CDB094,Kiss the Sky,ARORFIN1187FB3BE5C,Danielle Bollinger,129.986,0,1,2006,0.0,0.0,-4.518
TRBBVDP128F92F28CF,Chaos (Live - Bridgehouse Tapes),ARQUFQK11F4C83C0D8,4 Skins,90.787,9,1,1964,0.0,0.0,-6.014
TRBBVFT128F42ABB02,3 + 3,ARMPRI31187FB4F7D9,Vangelis,149.423,1,1,1977,0.0,0.0,-17.058
TRBBVAH128F4270300,40 OZ Quartet Part I,ARLLUSZ1187B98ACDC,Tha Liks,160.267,0,1,2001,0.0,0.0,-6.929
TRBBVBM128F4276D82,I Don't Know,ARHPPJK1187B9AC897,Teenage Fanclub,116.239,6,1,1991,0.0,0.0,-15.838
